itemcf_weight,fold_1_rmse,fold_2_rmse,fold_3_rmse,fold_4_rmse,fold_5_rmse,mean_rmse,std_rmse,avg_train_seconds,avg_predict_seconds,avg_memory_bytes,avg_memory_mb
0.0,17.175169,17.220621,17.227824,17.154367,17.188664,17.193329,0.027584,15.287055,0.644294,103230771,98.448535
0.1,17.091396,17.146983,17.146857,17.080528,17.104779,17.114108,0.027870,15.287055,0.644294,103230771,98.448535
0.2,17.023837,17.088624,17.081670,17.021686,17.036232,17.050410,0.028878,15.287055,0.644294,103230771,98.448535
0.3,16.972623,17.045611,17.032502,16.978232,16.982969,17.002388,0.030403,15.287055,0.644294,103230771,98.448535
0.4,16.938070,17.018292,16.999729,16.950403,16.945556,16.970410,0.032299,15.287055,0.644294,103230771,98.448535
0.45,16.926549,17.010580,16.989532,16.942269,16.933013,16.960389,0.033441,15.287055,0.644294,103230771,98.448535
0.46,16.924713,17.009515,16.987982,16.941051,16.931000,16.958852,0.033685,15.287055,0.644294,103230771,98.448535
0.47,16.923044,17.008610,16.986598,16.939991,16.929151,16.957479,0.033930,15.287055,0.644294,103230771,98.448535
0.48,16.921545,17.007864,16.985379,16.939087,16.927468,16.956269,0.034176,15.287055,0.644294,103230771,98.448535
0.49,16.920213,17.007277,16.984327,16.938340,16.925950,16.955222,0.034422,15.287055,0.644294,103230771,98.448535
0.5,16.919051,17.006850,16.983440,16.937751,16.924596,16.954338,0.034668,15.287055,0.644294,103230771,98.448535
0.51,16.918057,17.006565,16.982720,16.937318,16.923407,16.953613,0.034909,15.287055,0.644294,103230771,98.448535
0.52,16.917233,17.006439,16.982165,16.937042,16.922383,16.953053,0.035150,15.287055,0.644294,103230771,98.448535
0.53,16.916576,17.006473,16.981777,16.936924,16.921463,16.952643,0.035402,15.287055,0.644294,103230771,98.448535
0.54,16.916089,17.006667,16.981555,16.936960,16.920699,16.952394,0.035656,15.287055,0.644294,103230771,98.448535
0.55,16.915771,17.007020,16.981499,16.937152,16.920098,16.952308,0.035910,15.287055,0.644294,103230771,98.448535
0.56,16.915621,17.007534,16.981609,16.937484,16.919662,16.952382,0.036166,15.287055,0.644294,103230771,98.448535
0.57,16.915625,17.008207,16.981885,16.937966,16.919365,16.952610,0.036430,15.287055,0.644294,103230771,98.448535
0.58,16.915779,17.009040,16.982327,16.938605,16.919207,16.952992,0.036702,15.287055,0.644294,103230771,98.448535
0.59,16.916101,17.010032,16.982935,16.939401,16.919215,16.953537,0.036974,15.287055,0.644294,103230771,98.448535
0.6,16.916591,17.011185,16.983710,16.940349,16.919387,16.954244,0.037246,15.287055,0.644294,103230771,98.448535
0.61,16.917250,17.012497,16.984650,16.941451,16.919724,16.955114,0.037518,15.287055,0.644294,103230771,98.448535
0.62,16.918076,17.013968,16.985757,16.942709,16.920226,16.956147,0.037790,15.287055,0.644294,103230771,98.448535
0.63,16.919070,17.015600,16.987029,16.944123,16.920894,16.957343,0.038061,15.287055,0.644294,103230771,98.448535
0.64,16.920232,17.017391,16.988467,16.945694,16.921728,16.958703,0.038332,15.287055,0.644294,103230771,98.448535
0.65,16.921563,17.019342,16.990072,16.947419,16.922728,16.960225,0.038602,15.287055,0.644294,103230771,98.448535
0.7,16.930732,17.031476,17.000580,16.958381,16.930205,16.970275,0.039937,15.287055,0.644294,103230771,98.448535
0.8,16.961559,17.066816,17.033890,16.991906,16.957491,17.002332,0.042275,15.287055,0.644294,103230771,98.448535
0.9,17.008307,17.116912,17.083522,17.040388,17.001139,17.050053,0.044315,15.287055,0.644294,103230771,98.448535
1.0,17.071172,17.180418,17.148941,17.101887,17.060635,17.112610,0.045719,15.287055,0.644294,103230771,98.448535
